
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,				*,		0,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,				*,		0,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		-1,		1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		-1,		1	// Sellvalue -1 means it can not be selled
		//Rag,					1,		-1,		-1
		BandageDressing,			2,		5,		5
		BloodTestKit,				*,		5,		2
		//InjectionVial,			*,		-1, 		2
		Thermometer,				*,		-1,		2
		DisinfectantSpray,			*,		-1,		5
		//Syringe,				*,		-1, 		5
		Heatpack,				*,		-1,		5
		StartKitIV,				*,		-1,		6
		SalineBag,				*,		-1,		8
		BloodBagEmpty,				*,		-1,		10
		FirstAidKit,				*,		-1,		10
		//Defibrillator,			*,		-1, 		20
		
	<Category> Medications
		CharcoalTablets,				*,		-1,		1
		DisinfectantAlcohol,				*,		-1,		2
		VitaminBottle,					*,		-1,		4
		TetracyclineAntibiotics,			*,		50,		5
		PainkillerTablets,				*,		-1,		6
		Epinephrine,					*,		50,		10
		Morphine,					*,		50,		15	
		
	<Category> Money Exchange
		MoneyRuble1,					1,		1,		-1
		MoneyRuble5,					1,		5,		-1
		MoneyRuble10,					1,		10,		-1
		MoneyRuble25,					1,		25,		-1
		MoneyRuble50,					1,		50,		-1
		MoneyRuble100,					1,		100,		-1
		//Trader_Walle
		Briefcase,					*,		5,		1
		LargeWallet,					*,		5,		1
		SmallWalletBlack,				*,		5,		1
		SmallWalletBlue,				*,		5,		1
		SmallWalletBrown,				*,		5,		1
		Trader_Wallet,					*,		5,		1
		Moneybag_small,					*,		5,		1
		MoneyBag_medium, 				*,		5,		1
		MoneyBag_large,					*,		5,		1


<Trader> Misc Trader
	<Category> Tools (small)
		Screwdriver,					*,		-1,		1
		Wrench,						*,		-1,		1
		SewingKit,					*,		-1, 		1
		Pliers,						*,		-1, 		1
		LeatherSewingKit,				*,		-1, 		2
		Whetstone,					*,		-1,		2
		Hammer,						*,		25,		3
		Hacksaw,					*,		25,		3
		HandSaw,					*,		25,		3
		WeaponCleaningKit,				*,		-1, 		3
		KitchenKnife,					*,		-1,		4
		SteakKnife,					*,		-1,		4
		HuntingKnife,					*,		-1,		4
		CanOpener,					*,		10,		4
		Compass,					*,		-1,		4
		OrienteeringCompass,				*,		-1,		4
		Hatchet,					*,		-1,		4
		CombatKnife,					*,		-1,		5
		Machete,					*,		-1,		6	
		ChernarusMap,					*,		25,		5
		Lockpick,					*,		-1,		10
		Binoculars,					*,		-1,		15		
		FishingRod,					*,		-1,		25
		
	<Category> Tools (big)
		LugWrench,					*,		-1,		1
		Crowbar,					*,		15,		3
		Shovel,						*,		16,		3
		Pickaxe,					*,		10,		4
		SledgeHammer,					*,		15,		6
		WoodAxe,					*,		25,		8
		FirefighterAxe,					*,		30,		12
		
	<Category> Electronics
		Battery9V,					*,		-1,		3
		PersonalRadio,					*,		-1,		5
		Megaphone,					*,		-1,		15
		ElectronicRepairKit,				*,	        0,		17
		CableReel,					*,		-1,		20
		BatteryCharger,					*,		-1,		20
		BaseRadio,					*,		-1,		30
		Rangefinder,					*,		-1,		35
		NVGoggles,					*,		-1,		220
	
	<Category> Fire & Lights
		Chemlight_Blue,					*,		2,		1
		Chemlight_Green,				*,		2,		1
		Chemlight_Red,					*,		2,		1
		Chemlight_White,				*,		2,		1
		Chemlight_Yellow,				*,		2,		1
		Roadflare,					*,		4,		2
		Matchbox,					*,		6,		3
		Flashlight,					*,		-1,		5
		PortableGasLamp,				*,		-1,		10
		PortableGasStove,				*,		-1,		15
		Headtorch_Black,				*,		-1,		20
		Headtorch_Grey,					*,		-1,		20
		Spotlight,					*,		-1,		200
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,				*,		5,		2
		Pot,						M,		25,		10
		Tripod,						*,		35,		15
		BearTrap,					*,		50,		30
	
	<Category> Hardware Supplies
		Paper,						*,		-1,		5
		Pen_Blue,					*,		-1,		1
		Rope,						*,		-1,		1
		TannedLeather,					*,		-1,		1
		AntiPestsSpray,					*,		-1,		4
		MetalWire,					*,		-1,		6
		EpoxyPutty,					*,		-1,		6
		DuctTape,					*,		-1,		8
		XmasLights,					*,		-1,		10
		HandcuffKeys,					*,		-1,		12
		Handcuffs,					*,		-1,		15
		Netting,					*,		-1,		10
		BurlapSack,					*,		-1,		10
		WoodenPlank,					10,		70,		20
		MetalPlate,					*,		60,		18
		SmallProtectorCase,				*,		-1,		30
		AmmoBox,					*,		-1,		35
		SmallGasCanister,				*,		-1,		35
		MediumGasCanister,				*,		-1,		40
		LargeGasCanister,				*,		-1,		70
		CanisterGasoline,				*,		-1,		80
		NailBox,					*,		300,		120
		BarbedWire,					*,		450,		200
		Camonet,					*,		600,		250
		HescoBox,					*,		650,		250
		CombinationLock,				*,		1000,		300
		CombinationLock4,				*,		2000,		400
		BarrelHoles_Blue,				*,		-1,		300
		BarrelHoles_Green,				*,		-1,		300
		BarrelHoles_Red,				*,		-1,		300
		BarrelHoles_Yellow,				*,		-1,		300
		Barrel_Blue,					M,		-1,		350
		Barrel_Green,					M,		-1,		350
		Barrel_Red,					M,		-1,		350
		Barrel_Yellow,					M,		-1,		350
		SeaChest,					*,		-1,		400
		PowerGenerator,					*,		-1,		1000
		MediumTent,					*,		-1,		500		
		CarTent,					*,		-1,		700
		LargeTent,					*,		-1,		1200
	
	<Category> Seeds & Lime
		TomatoSeedsPack,				*,		8, 		1
		PepperSeedsPack,				*,		8, 		1
		ZucchiniSeedsPack,				*,		8, 		2
		PumpkinSeedsPack,				*,		8, 		3
		GardenLime,					*,		-1,		7
		
	<Category> Fluffy Pets <3
		Bear_Beige,					*,		-1,		25
		Bear_Dark,					*,		-1,		25
		Bear_Pink,					*,		-1,		25
		Bear_White,					*,		-1,		25
		
<Trader> Weapon Trader
	<Category> Melee	
		BrassKnuckles_Shiny,				W,		-1,		6
		StunBaton,					W,		-1,		9
		Pipe,						W,		-1,		10
		CattleProd,					W,		-1,		15
		BaseballBat,					W,		-1,		17
		NailedBaseballBat,				W,		50,		20
		
	<Category> Sidearms
		MakarovIJ70,					W,		-1,		50
		CZ75,						W,		-1,		70
		FNX45,						W,		-1,		90
		Glock19,					W,		-1,		130
		MKII,						W,		-1,		160
		Colt1911,					W,		-1,		180
		Engraved1911,					W,		-1,		180
		St_W_BerettaM9,					W,		200,		250
		St_W_Walther,					W,		200,		250
		St_W_Colt_9mm,					W,		200,		250
		
	<Category> Rifles
		Izh18,						W,		-1,		175
		Mosin9130,					W,		-1,		200
		CZ527,						W,		-1,		250
		Winchester70,					W,		-1,		250
		SKS,						W,		-1,		300
		St_W_Kar98k,					W,		500,		350
		
	<Category> Shotguns
		Mp133Shotgun,					W,		-1,		250
		Izh43Shotgun,					W,		-1,		400
		Saiga,						W,		-1,		600
		St_W_BenelliM4,					W,		500,		600
		
	<Category> Submachine Guns
		CZ61,						W,		-1,		300
		UMP45,						W,		-1,		350
		MP5K,						W,		-1,		450	
		AKS74U,						W,		-1,		600
		St_W_KAC_PDW,					W,		700,		500
		St_W_MP5SD,					W,		700,		500
		
	<Category> Assault Rifles
		FAL,						W,		-1,		450
		AKM,						W,		-1,		750
		AK101,						W,		-1,		750
		AK74,						W,		-1,		750
		M4A1,						W,		1000,		750
		St_W_AK12,					W,		1000,		750
		St_W_M16A1,					W,		1200,		1000
		St_W_M16A1Apocal,				W,		1200,		1000
		St_W_M16A1_belted,				W,		1200,		1000
		St_W_M16A1Apocal_belted,			W,		1200,		1000
		St_W_M16A1_launcher,				W,		1200,		1000
		St_W_M16A1Apocal_launcher,			W,		1200,		1000
		
	//<Category> Light Machine Guns
		St_W_GalilARM,					W,		1000,		750
		St_W_M39EMR,					W,		1000,		750
		St_W_M39EMR_brown,				W,		1000,		750
		St_W_M39EMR_tan,				W,		1000,		750
		St_W_M39EMR_pixelcity,				W,		1000,		750
		St_W_M39EMR_pixeltan,				W,		1000,		750
	
	//<Category> Machine Guns
		St_W_PKM,					W,		1500,		750
		St_W_RPK					W,		1500,		750

<Category> Sniper Rifles
		VSS,						W,		-1,		960
		B95,						W,		-1,		1100
		SVD,						W,		1500,		1200
		St_W_BarretM107,				W,		1750,		1500
		ST_W_SV98,					W,		1750,		1500
			
<Category> Grenades
		RGD5Grenade,					1,		300,		100
		M67Grenade,					1,		300,		100
		M18SmokeGrenade_Red,				1,		300,		100
		M18SmokeGrenade_Green,				1,		300,		100
		M18SmokeGrenade_Yellow,				1,		300,		100
		M18SmokeGrenade_Purple,				1,		300,		100
		M18SmokeGrenade_White,				1,		300,		100
		RDG2SmokeGrenade_Black,				1,		300,		100
		RDG2SmokeGrenade_White,				1,		300,		100
		FlashGrenade,					1,		300,		100
		St_G_MK2Grenade,				1,		300,		100
		
<Trader> Weapon Supplies
	<Category> Ammunition
		Ammo_380,					1,		1,		-1
		Ammo_9x19,					1,		1,		-1
		Ammo_22,					1,		1,		-1
		Ammo_45ACP,					1,		1,		-1
		Ammo_12gaPellets,				1,		3,		1
		Ammo_12gaSlug,					1,		4,		2
		Ammo_9x39,					1,		4,		2
		Ammo_9x39AP,					1,		5,		3
		Ammo_308Win,					1,		5,		3
		Ammo_545x39,					1,		5,		3
		Ammo_556x45,					1,		5,		3
		Ammo_762x39,					1,		5,		3
		Ammo_762x54,					1,		10,		6		
		Ammo_556x45Tracer,				1,		10,		5
		Ammo_545x39Tracer,				1,		10,		5
		Ammo_308WinTracer,				1,		10,		5
		Ammo_762x39Tracer,				1,		10,		5
		Ammo_762x54Tracer,				1,		20,		12
		St_Ammo_57x28,					1,		10,		5
		St_Ammo_792x57,					1,		5,		3
		St_Ammo_12_7x99,				1,		5,		3
		St_Ammo_40mm_HE,				1,		5,		3
		St_Ammo_338,					1,		5,		3
		St_Ammo_408,					1,		5,		3
		St_Ammo_CrossBowBolt,				1,		7,		3
		// When changing Prices here keep in Mind that Players
		// can just unpack the Ammoboxes and sell the Ammo seperatly!
		// Originally the Ammoboxes buying Price is 20% less than
		// buying single Ammo. The Selling Price is the same as
		// selling the Ammo seperately.
		AmmoBox_380_35rnd,				*,		28,		-1
		AmmoBox_9x19_25rnd,				*,		20,		-1
		AmmoBox_45ACP_25rnd,				*,		20,		-1
		AmmoBox_22_50Rnd,				*,		60,		20
		AmmoBox_00buck_10rnd,				*,		24,		10
		AmmoBox_12gaSlug_10Rnd,				*,		32,		20
		AmmoBox_9x39_20Rnd,				*,		32,		20
		AmmoBox_9x39AP_20Rnd,				*,		80,		60
		AmmoBox_308Win_20Rnd,				*,		80,		60
		AmmoBox_545x39_20Rnd,				*,		80,		60
		AmmoBox_556x45_20Rnd,				*,		80,		60
		AmmoBox_762x39_20Rnd,				*,		80,		60
		AmmoBox_762x54_20Rnd,				*,		200,		120		
		AmmoBox_308WinTracer_20Rnd,			*,		160,		80
		AmmoBox_545x39Tracer_20Rnd,			*,		160, 		80
		AmmoBox_556x45Tracer_20Rnd,			*,		160,		80
		AmmoBox_762x39Tracer_20Rnd,			*,		160,		80
		AmmoBox_762x54Tracer_20Rnd,			*,		400,		200
		St_AmmoBox_57x28_50Rnd,				*,		80,		60
		St_AmmoBox_792x57_20Rnd,			*,		80,		60
		St_AmmoBox_12_7x99_10Rnd,			*,		80,		60
		St_AmmoBox_338_20Rnd,				*,		80,		60
		St_AmmoBox_408_20Rnd,				*,		80,		60
		
	<Category> Magazines
		Mag_IJ70_8Rnd,					M,		30,		15
		Mag_CZ75_15Rnd,					M,		40,		20
		Mag_Glock_15Rnd,				M,		40,		20
		Mag_MKII_10Rnd,					M,		40,		20
		Mag_1911_7Rnd,					M,		40,		20
		Mag_FNX45_15Rnd,				M,		40,		20
		Mag_CZ527_5rnd,					M,		60,		30
		Mag_CZ61_20Rnd,					M,		100,		50
		Mag_UMP_25Rnd,					M,		150,		75
		Mag_MP5_30Rnd,					M,		200,		100
		Mag_FAL_20Rnd,					M,		100,		50
		Mag_Saiga_5Rnd,					M,		100,		50
		Mag_Saiga_8Rnd,					M,		220,		60
		Mag_Saiga_Drum20Rnd,				M,		480,		110
		Mag_AKM_30Rnd,					M,		220,		110
		Mag_AKM_Palm30Rnd,				M,		220,		110
		Mag_AKM_Drum75Rnd,				M,		480,		220
		Mag_AK101_30Rnd,				M,		220,		110
		Mag_AK74_30Rnd,					M,		220,		110
		Mag_STANAG_30Rnd,				M,		220,		110
		Mag_STANAGCoupled_30Rnd,			M,		480,		220
		Mag_CMAG_10Rnd,					M,		120,		60
		Mag_CMAG_20Rnd,					M,		180,		80
		Mag_CMAG_30Rnd,					M,		220,		110
		Mag_CMAG_40Rnd,					M,		300,		150
		Mag_VSS_10Rnd,					M,		220,		110
		Mag_SVD_10Rnd,					M,		250,		125
		Mag_308WinSnaploader_2Rnd,			M,		250,		125
		St_Mag_GalilARM_35Rnd,				M,		220,		110
		St_Mag_M16A1_20Rnd,				M,		220,		110
		St_Mag_PKM_100Rnd,				M,		220,		110
		St_Mag_PKM_200Rnd,				M,		320,		210
		St_Mag_PKM_250Rnd,				M,		370,		250
		St_Mag_RPK_40Rnd,				M,		220,		110
		St_Mag_BerettaM9_15Rnd,				M,		220,		110
		St_Mag_Walther_16Rnd,				M,		220,		110
		St_Mag_BarretM107_10Rnd,			M,		220,		110
		St_Mag_M39_20Rnd,				M,		220,		110
		St_Mag_SV98_10rnd,				M,		220,		110
		St_Mag_Colt_9mm_30Rnd,				M,		50,		25
		Mag_MP5_30Rnd,					M,		100,		50
		
	<Category> Handguards
		MP5_PlasticHndgrd,				*,		100,		50
		MP5_RailHndgrd,					*,		150,		75
		AK74_Hndgrd,					*,		150,		75
		AK_WoodHndgrd,					*,		200,		100
		AK_RailHndgrd,					*,		200,		100
		AK_PlasticHndgrd,				*,		200,		100
		M4_PlasticHndgrd,				*,		150,		75
		M4_RISHndgrd,					*,		200,		100
		M4_MPHndgrd,					*,		200,		100

	<Category> Buttstocks
		MP5k_StockBttstck,				*,		100,		50
		Fal_OeBttstck,					*,		100,		50
		Fal_FoldingBttstck,				*,		150,		75
		Saiga_Bttstck,					*,		150,		75
		AKS74U_Bttstck,					*,		150,		75
		AK74_WoodBttstck,				*,		150,		75
		AK_PlasticBttstck,				*,		100,		50
		AK_WoodBttstck,					*,		150,		75
		AK_FoldingBttstck,				*,		250,		125
		M4_OEBttstck,					*,		150,		75
		M4_CQBBttstck,					*,		150,		75
		M4_MPBttstck,					*,		150,		75
	
	<Category> Optics
		M4_CarryHandleOptic,				*,		150,		60
		BUISOptic,					*,		150,		60
		FNP45_MRDSOptic,				*,		250,		100
		ACOGOptic,					*,		300,		120
		M68Optic,					*,		500,		200
		M4_T3NRDSOptic,					*,		500,		200
		KobraOptic,					*,		600,		250
		KashtanOptic,					*,		700,		300
		PUScopeOptic,					*,		900,		500
		HuntingOptic,					*,		1000,		550
		PSO1Optic,					*,		1100,		600	
		PSO11Optic,					*,		1400,		840
		KazuarOptic,					*,		2200,		1400
		St_O_Holosight,					*,		1000,		550
		St_O_OKP7,					*,		1000,		550
		St_O_PVS4Optic,					*,		1000,		550
	
	<Category> Supressors
		PistolSuppressor,				*,		150,		75
		AK_Suppressor,					*,		250,		125
		M4_Suppressor,					*,		250,		125
		St_M_PBRSuppressor,				*,		250,		125
		St_M_PBS1_Suppressor,				*,		250,		125
		St_M_PBS4_Suppressor,				*,		250,		125
		St_M_USPSuppressor,				*,		250,		125
		St_M_WaltherSuppressor,				*,		250,		125
		
	<Category> Compensators
		Mosin_Compensator,				*,		-1,		75
		MP5_Compensator,				*,		-1,		100

	<Category> Bayonets
		Mosin_Bayonet,					*,		-1,		60
		M9A1_Bayonet,					*,		-1,		75
		AK_Bayonet,					*,		-1,		75
		SKS_Bayonet,					*,		-1,		60
		
	<Category> Flashlights
		Universallight,					*,		-1,		60
	
	
<Trader> Clothing Trader
	<Category> Glasses
		SportGlasses_Orange,				*,		-1,		8
		SportGlasses_Blue,				*,		-1,		9
		SportGlasses_Black,				*,		-1,		10
		SportGlasses_Green,				*,		-1,		10
		ThinFramesGlasses,				*,		-1,		10
		ThickFramesGlasses,				*,		-1,		11
		DesignerGlasses,				*,		-1,		15
		AviatorGlasses,					*,		-1,		20
		TacticalGoggles,				*,		-1,		30
		NVGHeadstrap,					*,		400,		120
		
	<Category> Armbands
		Armband_Pink,					*,		1,		-1
		Armband_Yellow,					*,		1,		-1
		Armband_Orange,					*,		1,		-1
		Armband_Red,					*,		1,		-1
		Armband_Blue,					*,		1,		-1
		Armband_White,					*,		1,		-1
		Armband_Black,					*,		1,		-1
		Armband_Green,					*,		1,		-1
		
	<Category> Gloves
		SurgicalGloves_LightBlue,			*,		-1,		1
		SurgicalGloves_Blue,				*,		-1,		1
		SurgicalGloves_White,				*,		-1,		1
		SurgicalGloves_Green,				*,		-1,		1
		WorkingGloves_Yellow,				*,		1,		-1
		WorkingGloves_Beige,				*,		-1,		8
		WorkingGloves_Brown,				*,		-1,		8
		WorkingGloves_Black,				*,		-1,		8
		TacticalGloves_Beige,				*,		25,		10
		TacticalGloves_Black,				*,		25,		10
		TacticalGloves_Green,				*,		25,		10
		OMNOGloves_Gray,				*,		-1,		12
		OMNOGloves_Brown,				*,		-1,		12
		NBCGlovesGray,					*,		-1,		20

	<Category> Hats & Caps
		MedicalScrubsHat_Blue,				*,		-1,		1
		MedicalScrubsHat_White,				*,		-1,		1
		MedicalScrubsHat_Green,				*,		-1,		1
		Bandana_Polkapattern,				*,		-1,		2
		Bandana_Redpattern,				*,		-1,		2
		Bandana_Blackpattern,				*,		-1,		2
		Bandana_Greenpattern,				*,		-1,		2
		Bandana_Camopattern,				*,		-1,		3
		BaseballCap_CMMG_Pink,				*,		-1,		3
		BaseballCap_Pink,				*,		-1,		3
		BaseballCap_Red,				*,		-1,		3
		BaseballCap_Blue,				*,		-1,		3
		BaseballCap_Beige,				*,		-1,		3
		BaseballCap_CMMG_Black,				*,		-1,		3
		BaseballCap_Black,				*,		-1,		3
		BaseballCap_Olive,				*,		-1,		4
		BaseballCap_Camo,				*,		-1,		5
		PrisonerCap,					*,		-1,		5
		BoonieHat_Orange,				*,		-1,		5
		BoonieHat_Red,					*,		-1,		5
		BoonieHat_Blue,					*,		-1,		5
		BoonieHat_NavyBlue,				*,		-1,		5
		BoonieHat_Black,				*,		-1,		5
		BoonieHat_Tan,					*,		-1,		6
		BoonieHat_Olive,				*,		-1,		6
		BoonieHat_DPM,					*,		-1,		7
		BoonieHat_Dubok,				*,		-1,		7
		BoonieHat_Flecktran,				*,		-1,		7
		CowboyHat_Brown,				*,		-1,		7
		CowboyHat_darkBrown,				*,		-1,		7
		CowboyHat_black,				*,		-1,		7
		CowboyHat_green,				*,		-1,		7
		PilotkaCap,					*,		-1,		7
		OfficerHat,					*,		-1,		7
		PoliceCap,					*,		-1,		7
		MilitaryBeret_ChDKZ,				*,		-1,		7
		MilitaryBeret_Red,				*,		-1,		7
		MilitaryBeret_UN,				*,		-1,		7
		MilitaryBeret_CDF,				*,		-1,		7
		MilitaryBeret_NZ,				*,		-1,		7
		BeanieHat_Pink,					*,		-1,		8
		BeanieHat_Red,					*,		-1,		8
		BeanieHat_Blue,					*,		-1,		8
		BeanieHat_Grey,					*,		-1,		8
		BeanieHat_Beige,				*,		-1,		8
		BeanieHat_Brown,				*,		-1,		8
		BeanieHat_Black,				*,		-1,		8
		BeanieHat_Green,				*,		-1,		9
		FlatCap_Red,					*,		-1,		8
		FlatCap_Blue,					*,		-1,		8
		FlatCap_BrownCheck,				*,		-1,		8
		FlatCap_GreyCheck,				*,		-1,		8
		FlatCap_Grey,					*,		-1,		8
		FlatCap_Brown,					*,		-1,		8
		FlatCap_Black,					*,		-1,		8
		FlatCap_BlackCheck,				*,		-1,		8
		ZmijovkaCap_Red,				*,		-1,		9
		ZmijovkaCap_Blue,				*,		-1,		9
		ZmijovkaCap_Brown,				*,		-1,		9
		ZmijovkaCap_Black,				*,		-1,		9
		ZmijovkaCap_Green,				*,		-1,		10
		RadarCap_Red,					*,		-1,		10
		RadarCap_Blue,					*,		-1,		10
		RadarCap_Brown,					*,		-1,		10
		RadarCap_Black,					*,		-1,		10
		RadarCap_Green,					*,		-1,		12
		Ushanka_Blue,					*,		-1,		15
		Ushanka_Black,					*,		-1,		15
		Ushanka_Green,					*,		-1,		18
		NBCHoodGray,					*,		-1,		30		

	<Category> Helmets	
		ConstructionHelmet_Yellow,			*,		1,		-1
		ConstructionHelmet_Orange,			*,		-1,		7
		ConstructionHelmet_Red,				*,		-1,		7
		ConstructionHelmet_Blue,			*,		-1,		7
		ConstructionHelmet_White,			*,		-1,		7
		ConstructionHelmet_Lime,			*,		-1,		8
		SkateHelmet_Red,				*,		-1,		12
		SkateHelmet_Blue,				*,		-1,		12
		SkateHelmet_Gray,				*,		-1,		12
		SkateHelmet_Black,				*,		-1,		12
		SkateHelmet_Green,				*,		-1,		13
		HockeyHelmet_Red,				*,		-1,		13
		HockeyHelmet_Blue,				*,		-1,		13
		HockeyHelmet_White,				*,		-1,		13
		HockeyHelmet_Black,				*,		-1,		14
		DirtBikeHelmet_Mouthguard,			*,		-1,		4
		DirtBikeHelmet_Visor,				*,		-1,		8
		DirtBikeHelmet_Red,				*,		-1,		15
		DirtBikeHelmet_Blue,				*,		-1,		15
		DirtBikeHelmet_Police,				*,		-1,		15
		DirtBikeHelmet_Green,				*,		-1,		15
		DirtBikeHelmet_Chernarus,			*,		-1,		15
		DirtBikeHelmet_Black,				*,		-1,		16
		DirtBikeHelmet_Khaki,				*,		-1,		18
		MotoHelmet_Red,					*,		-1,		18
		MotoHelmet_Blue,				*,		-1,		18
		MotoHelmet_White,				*,		-1,		18
		MotoHelmet_Lime,				*,		-1,		18
		MotoHelmet_Grey,				*,		-1,		18
		MotoHelmet_Black,				*,		-1,		20
		MotoHelmet_Green,				*,		-1,		22
		DarkMotoHelmet_Red,				*,		-1,		22
		DarkMotoHelmet_Blue,				*,		-1,		22
		DarkMotoHelmet_White,				*,		-1,		22
		DarkMotoHelmet_Lime,				*,		-1,		22
		DarkMotoHelmet_Grey,				*,		-1,		22
		DarkMotoHelmet_Black,				*,		-1,		23
		DarkMotoHelmet_Green,				*,		-1,		25
		TankerHelmet,					*,		-1,		25
		GreatHelm,					*,		-1,		30
		ZSh3PilotHelmet,				*,		-1,		35
		FirefightersHelmet_Yellow,			*,		-1,		40
		FirefightersHelmet_Red,				*,		-1,		40
		FirefightersHelmet_White,			*,		-1,		40
		Mich2001Helmet,					*,		-1,		40
		GorkaHelmetVisor,				*,		-1,		20
		GorkaHelmet,					*,		-1,		50
		Ssh68Helmet,					*,		-1,		80
		BallisticHelmet_UN,				*,		-1,		80
		BallisticHelmet_Black,				*,		500,		250
		BallisticHelmet_Green,				*,		500,		250

	<Category> Masks
		SurgicalMask,					*,		-1,		3
		BandanaMask_PolkaPattern,			*,		-1,		6
		BandanaMask_RedPattern,				*,		-1,		6
		BandanaMask_BlackPattern,			*,		-1,		6
		BandanaMask_GreenPattern,			*,		-1,		8
		BandanaMask_CamoPattern,			*,		-1,		10
		NioshFaceMask,					*,		-1,		10
		HockeyMask,					*,		-1,		10
		//HoxtonMask,					*,		-1,		10
		//WolfMask,					*,		-1,		10
		//DallasMask,					*,		-1,		10
		Balaclava3Holes_Blue,				*,		-1,		12
		Balaclava3Holes_Beige,				*,		-1,		12
		Balaclava3Holes_Black,				*,		-1,		13
		Balaclava3Holes_Green,				*,		-1,		15
